contract_id,type,counterparty,start_date,end_date,status,total_value_usd,annual_commitment_usd,escalation,payment_terms,variable_costs,sla_uptime,sla_response_critical,sla_resolution_critical,sla_penalty,compliance,esg_reporting,termination,governing_law,arbitration
C-1010,Employment,Amazon Web Services,2020-03-29,2024-10-13,Expired,10938745,1823124,5% YoY,Milestone-based,Performance bonus structure,99.5%,30 min,4 hrs,5% penalty per missed critical resolution,"HIPAA, UK Bribery Act, GDPR",Annual (GRI aligned),90 days mutual notice required,EU,LCIA London
C-1011,NDA/MSA,HCL Technologies,2022-11-01,2029-10-13,Terminated,12874706,1839243,3% YoY,Net 30,2% overage on usage,99.95%,30 min,4 hrs,2% fee credit per 0.1% drop,"FCPA, SOC2, GDPR, UK Bribery Act",Carbon Disclosure only,90 days mutual notice required,India,LCIA London
C-1012,SaaS Licensing,Tech Mahindra,2022-12-21,2028-01-01,Expired,2001223,333537,5% YoY,Net 45,0.005 USD per API call above 1M,99.95%,30 min,4 hrs,2% fee credit per 0.1% drop,"India DPA 2023, GDPR, FCPA, SOC2",None required,90 days mutual notice required,EU,Arbitration India
C-1013,Service Outsourcing,Accenture Plc,2023-02-22,2029-01-12,Active,2680901,382985,2% YoY,Net 30,Performance bonus structure,99.9%,30 min,4 hrs,5% penalty per missed critical resolution,"HIPAA, PCI DSS, UK Bribery Act, India DPA 2023",Carbon Disclosure only,Immediate termination for SLA breach,India,Arbitration India
C-1014,Employment,Amazon Web Services,2023-07-29,2024-12-30,Expired,10389612,2597403,3% YoY,Net 30,2% overage on usage,99.95%,30 min,4 hrs,2% fee credit per 0.1% drop,"GDPR, SOC2, PCI DSS",Carbon Disclosure only,Immediate termination for SLA breach,UK,LCIA London
C-1015,Loan,Amazon Web Services,2021-02-21,2023-01-27,Terminated,177319,29553,2% YoY,Net 30,0.005 USD per API call above 1M,99.5%,30 min,4 hrs,2% fee credit per 0.1% drop,"CCPA, SOC2, HIPAA, FCPA",Carbon Disclosure only,Immediate termination for SLA breach,US,ICC Singapore
C-1016,Service Outsourcing,Amazon Web Services,2022-08-07,2029-04-12,Active,11663541,2915885,2% YoY,Net 60,None,99.9%,30 min,4 hrs,2% fee credit per 0.1% drop,"HIPAA, FCPA, ISO 27001, UK Bribery Act, GDPR",Annual (GRI aligned),Immediate termination for SLA breach,US,Arbitration India
C-1017,Partnership,HCL Technologies,2020-11-02,2026-02-28,Active,11540639,3846879,5% YoY,Net 60,2% overage on usage,99.5%,30 min,4 hrs,5% penalty per missed critical resolution,"GDPR, HIPAA, FCPA, UK Bribery Act",Annual (GRI aligned),Immediate termination for SLA breach,EU,SIAC Singapore
C-1018,Loan,Amazon Web Services,2023-05-07,2029-03-02,Renewed,2863082,954360,3% YoY,Net 30,0.005 USD per API call above 1M,99.95%,30 min,4 hrs,2% fee credit per 0.1% drop,"CCPA, GDPR, PCI DSS",Carbon Disclosure only,30 days cure for cause; 120 days convenience,India,SIAC Singapore
C-1019,SaaS Licensing,Amazon Web Services,2021-03-28,2027-01-25,Expired,2960073,740018,5% YoY,Net 30,Performance bonus structure,99.99%,30 min,4 hrs,2% fee credit per 0.1% drop,"PCI DSS, FCPA, UK Bribery Act, HIPAA",None required,Immediate termination for SLA breach,EU,Arbitration India
C-1020,Insurance,Alpha Manufacturing Ltd.,2020-12-03,2023-08-26,Active,18340103,4585025,5% YoY,Net 60,Performance bonus structure,99.9%,30 min,4 hrs,5% penalty per missed critical resolution,"CCPA, India DPA 2023, UK Bribery Act, ISO 27001",Annual (GRI aligned),Immediate termination for SLA breach,UK,LCIA London
C-1021,Employment,HCL Technologies,2023-05-15,2026-09-06,Terminated,6460914,2153638,2% YoY,Milestone-based,0.005 USD per API call above 1M,99.9%,30 min,4 hrs,2% fee credit per 0.1% drop,"PCI DSS, India DPA 2023, CCPA, FCPA, SOC2",Quarterly ESG report,30 days cure for cause; 120 days convenience,EU,SIAC Singapore
C-1022,Loan,Infosys Ltd.,2023-02-21,2029-12-15,Renewed,14356849,4785616,5% YoY,Net 30,Performance bonus structure,99.9%,30 min,4 hrs,2% fee credit per 0.1% drop,"SOC2, FCPA, ISO 27001, GDPR, India DPA 2023",None required,Immediate termination for SLA breach,Singapore,LCIA London
C-1023,Loan,Microsoft Corp.,2022-12-18,2027-09-18,Renewed,11689239,1669891,2% YoY,Milestone-based,2% overage on usage,99.99%,30 min,4 hrs,2% fee credit per 0.1% drop,"ISO 27001, GDPR, CCPA, FCPA",None required,90 days mutual notice required,EU,Arbitration India
C-1024,Employment,HCL Technologies,2022-03-20,2027-05-07,Renewed,5708408,1427102,3% YoY,Milestone-based,2% overage on usage,99.5%,30 min,4 hrs,2% fee credit per 0.1% drop,"CCPA, FCPA, India DPA 2023, HIPAA",None required,90 days mutual notice required,Singapore,Arbitration India
C-1025,Procurement,Amazon Web Services,2021-04-03,2024-08-06,Active,10560915,3520305,5% YoY,Net 60,2% overage on usage,99.9%,30 min,4 hrs,5% penalty per missed critical resolution,"ISO 27001, PCI DSS, HIPAA, FCPA",Annual (GRI aligned),90 days mutual notice required,Singapore,SIAC Singapore
C-1026,NDA/MSA,Alpha Manufacturing Ltd.,2020-11-18,2022-01-11,Terminated,4555321,1518440,2% YoY,Net 60,Performance bonus structure,99.95%,30 min,4 hrs,2% fee credit per 0.1% drop,"GDPR, CCPA, India DPA 2023, ISO 27001, FCPA",Annual (GRI aligned),90 days mutual notice required,India,SIAC Singapore
C-1027,Loan,Infosys Ltd.,2021-05-27,2025-11-16,Active,14215441,4738480,5% YoY,Net 60,None,99.5%,30 min,4 hrs,2% fee credit per 0.1% drop,"ISO 27001, CCPA, SOC2",None required,90 days mutual notice required,Singapore,ICC Singapore
C-1028,Service Outsourcing,IBM India Pvt Ltd.,2023-02-04,2026-01-10,Active,14940768,2988153,3% YoY,Net 60,Performance bonus structure,99.9%,30 min,4 hrs,2% fee credit per 0.1% drop,"UK Bribery Act, GDPR, India DPA 2023, FCPA",Quarterly ESG report,Immediate termination for SLA breach,Singapore,LCIA London
C-1029,Real Estate Lease,Oracle Corp.,2022-07-10,2023-10-10,Expired,12928495,4309498,3% YoY,Milestone-based,None,99.99%,30 min,4 hrs,5% penalty per missed critical resolution,"FCPA, UK Bribery Act, SOC2, PCI DSS, HIPAA",Carbon Disclosure only,90 days mutual notice required,US,SIAC Singapore
C-1030,Service Outsourcing,Accenture Plc,2022-09-30,2029-04-11,Terminated,17378823,2896470,5% YoY,Net 30,Performance bonus structure,99.99%,30 min,4 hrs,2% fee credit per 0.1% drop,"HIPAA, FCPA, GDPR, UK Bribery Act",Carbon Disclosure only,Immediate termination for SLA breach,Singapore,ICC Singapore
C-1031,NDA/MSA,IBM India Pvt Ltd.,2022-03-18,2024-08-15,Renewed,5845168,1461292,5% YoY,Net 30,0.005 USD per API call above 1M,99.9%,30 min,4 hrs,5% penalty per missed critical resolution,"CCPA, ISO 27001, GDPR, PCI DSS",Carbon Disclosure only,30 days cure for cause; 120 days convenience,EU,Arbitration India
C-1032,Procurement,Oracle Corp.,2020-09-22,2024-06-04,Terminated,17771110,4442777,3% YoY,Net 60,Performance bonus structure,99.99%,30 min,4 hrs,5% penalty per missed critical resolution,"SOC2, ISO 27001, HIPAA",None required,Immediate termination for SLA breach,US,SIAC Singapore
C-1033,Procurement,Alpha Manufacturing Ltd.,2022-06-18,2024-09-01,Terminated,8186047,1637209,3% YoY,Net 60,Performance bonus structure,99.5%,30 min,4 hrs,2% fee credit per 0.1% drop,"HIPAA, SOC2, ISO 27001, CCPA",Quarterly ESG report,Immediate termination for SLA breach,UK,ICC Singapore
C-1034,Loan,Accenture Plc,2021-01-12,2026-08-22,Expired,12165541,1737934,5% YoY,Net 30,None,99.5%,30 min,4 hrs,5% penalty per missed critical resolution,"SOC2, ISO 27001, India DPA 2023, GDPR",Annual (GRI aligned),90 days mutual notice required,Singapore,LCIA London
C-1035,Partnership,GlobalTech Solutions Inc.,2020-05-13,2027-02-16,Expired,4089653,1022413,3% YoY,Net 60,None,99.95%,30 min,4 hrs,5% penalty per missed critical resolution,"SOC2, PCI DSS, CCPA, ISO 27001",Carbon Disclosure only,90 days mutual notice required,US,ICC Singapore
C-1036,Insurance,Alpha Manufacturing Ltd.,2020-11-21,2026-09-28,Terminated,12724406,3181101,3% YoY,Net 30,None,99.5%,30 min,4 hrs,2% fee credit per 0.1% drop,"ISO 27001, PCI DSS, HIPAA, GDPR",Quarterly ESG report,30 days cure for cause; 120 days convenience,EU,SIAC Singapore
C-1037,Service Outsourcing,Microsoft Corp.,2020-06-02,2026-04-29,Terminated,11974416,2993604,2% YoY,Milestone-based,2% overage on usage,99.9%,30 min,4 hrs,5% penalty per missed critical resolution,"CCPA, HIPAA, PCI DSS, SOC2, GDPR",Annual (GRI aligned),30 days cure for cause; 120 days convenience,UK,ICC Singapore
C-1038,Employment,GlobalTech Solutions Inc.,2021-06-27,2026-06-26,Expired,4257319,1064329,3% YoY,Net 60,0.005 USD per API call above 1M,99.99%,30 min,4 hrs,2% fee credit per 0.1% drop,"HIPAA, PCI DSS, UK Bribery Act, SOC2, ISO 27001",Carbon Disclosure only,Immediate termination for SLA breach,US,ICC Singapore
C-1039,Insurance,GlobalTech Solutions Inc.,2020-06-05,2026-07-13,Expired,7758401,1939600,5% YoY,Net 30,Performance bonus structure,99.99%,30 min,4 hrs,5% penalty per missed critical resolution,"CCPA, GDPR, PCI DSS, ISO 27001, India DPA 2023",Carbon Disclosure only,Immediate termination for SLA breach,US,ICC Singapore
C-1040,Procurement,Alpha Manufacturing Ltd.,2022-02-16,2024-02-03,Active,11361251,1623035,5% YoY,Milestone-based,None,99.9%,30 min,4 hrs,5% penalty per missed critical resolution,"ISO 27001, CCPA, UK Bribery Act, FCPA, HIPAA",Carbon Disclosure only,90 days mutual notice required,India,Arbitration India
C-1041,Insurance,Accenture Plc,2021-04-17,2026-09-17,Active,12833019,4277673,5% YoY,Net 45,Performance bonus structure,99.99%,30 min,4 hrs,5% penalty per missed critical resolution,"ISO 27001, SOC2, PCI DSS, CCPA, UK Bribery Act",Carbon Disclosure only,30 days cure for cause; 120 days convenience,EU,ICC Singapore
C-1042,NDA/MSA,Accenture Plc,2022-01-19,2026-11-29,Terminated,17696229,2528032,5% YoY,Milestone-based,Performance bonus structure,99.95%,30 min,4 hrs,2% fee credit per 0.1% drop,"GDPR, India DPA 2023, FCPA",Quarterly ESG report,90 days mutual notice required,India,ICC Singapore
C-1043,Employment,Accenture Plc,2022-10-19,2027-10-20,Renewed,15691274,2615212,5% YoY,Net 60,None,99.95%,30 min,4 hrs,2% fee credit per 0.1% drop,"CCPA, India DPA 2023, SOC2, GDPR, ISO 27001",Carbon Disclosure only,Immediate termination for SLA breach,UK,LCIA London
C-1044,IP Licensing,Infosys Ltd.,2022-01-26,2026-04-29,Active,1284665,428221,3% YoY,Milestone-based,Performance bonus structure,99.99%,30 min,4 hrs,5% penalty per missed critical resolution,"HIPAA, ISO 27001, FCPA",Carbon Disclosure only,90 days mutual notice required,EU,LCIA London
C-1045,NDA/MSA,IBM India Pvt Ltd.,2020-03-28,2027-03-11,Renewed,5237874,748267,3% YoY,Milestone-based,Performance bonus structure,99.5%,30 min,4 hrs,5% penalty per missed critical resolution,"HIPAA, PCI DSS, SOC2, UK Bribery Act, India DPA 2023",Carbon Disclosure only,Immediate termination for SLA breach,India,ICC Singapore
C-1046,NDA/MSA,IBM India Pvt Ltd.,2023-10-05,2026-04-21,Terminated,15378584,5126194,3% YoY,Milestone-based,None,99.95%,30 min,4 hrs,5% penalty per missed critical resolution,"ISO 27001, CCPA, PCI DSS, GDPR, SOC2",Annual (GRI aligned),30 days cure for cause; 120 days convenience,UK,ICC Singapore
C-1047,IP Licensing,Tech Mahindra,2023-12-23,2030-03-22,Terminated,3105311,621062,5% YoY,Net 60,Performance bonus structure,99.99%,30 min,4 hrs,2% fee credit per 0.1% drop,"SOC2, India DPA 2023, HIPAA, CCPA",Quarterly ESG report,30 days cure for cause; 120 days convenience,India,SIAC Singapore
C-1048,Service Outsourcing,Accenture Plc,2022-01-06,2024-08-16,Renewed,2246322,561580,2% YoY,Milestone-based,0.005 USD per API call above 1M,99.9%,30 min,4 hrs,2% fee credit per 0.1% drop,"India DPA 2023, CCPA, UK Bribery Act, SOC2",Quarterly ESG report,90 days mutual notice required,EU,ICC Singapore
C-1049,Employment,Infosys Ltd.,2023-05-27,2028-03-23,Expired,12868874,2573774,2% YoY,Net 45,None,99.9%,30 min,4 hrs,5% penalty per missed critical resolution,"GDPR, SOC2, India DPA 2023, FCPA",Quarterly ESG report,Immediate termination for SLA breach,UK,LCIA London
